14963
a	a.一,一个,一只,一件.
evade	v.规避,逃避,躲避
evaluate	v.评估,评价
evaluation	n.估价,评价
evaporate	v.蒸发,失去水分,消失
evaporation	n.蒸发,脱水,干燥
evasion	n.逃避,藉口
eve	n.前夜,前夕n.[圣]夏娃
even	a.平坦的,偶数的,相等的ad.甚至,恰好,正当
evening	n.傍晚,晚上
evenly	ad.平衡地,平坦地,平等地
event	n.大事,事件
eventful	a.变故多的,多事的,重要的
events	n.事件
eventually	ad.终于,最后
ever	ad.曾经,永远,究竟
evergreen	n.常绿树,常绿植物a.常绿的
everlasting	a.永恒的,持久的,无止境的
every	a.每,每个,每隔...的
everybody	pron.每人,人人
everyday	a.每天的,日常的b.平常的日子
everyone	n.每个人pron.每人,人人
everything	pron.每件事,一切
everywhere	ad.到处,无论何处
evict	v.逐出,赶出,驱逐
evidence	n.根据,证据vt.vi.证实，证明
evident	a.明显的,明白的
evidently	ad.明显地,显著地,必以为是
evil	a.邪恶的,坏的n.邪恶,罪恶
evoke	v.唤起,引起
evolution	n.进化,发展,进展
evolutionary	a.发展的(展开的,调优的)
evolve	v.进展,进化,展开
ex	n.试验过的(过剩,激励器,激磁,排气,膨胀)
exacerbate	vt.加重(使...恶化,激怒)
exact	a.精确的vt.强求,要求,索取
exactly	a.完全的ad.恰好地,正好地,正确地,精确地,正是
exaggerate	v.夸大,夸张
exaggerated	a.言过其辞的
exaggeration	n.夸张
exalt	v.(高度)赞扬,歌颂
exalted	a.尊贵的,高位的,高尚的
exam	n.考试
examination	n.检查,考试
examine	v.检查,调查,考试[计算机]检测
example	n.榜样,例子
exasperate	v.使...恼怒,激怒,恶化
exasperation	n.恼怒
excavate	v.挖,挖开,凿通
exceed	v.超过,胜过,越出vt.超过,胜过
exceedingly	ad.非常(极其,极度地,很)
excel	v.胜过,优于,擅长[计算机]软件名称
excellence	n.优秀,卓越,优点
excellent	a.极好的,优秀的
except	v.除,除外,反对prep.除了...之外,若不是,除非
exception	n.例外
exceptional	a.例外的,异常的,特别的
excerpt	n.摘录v.摘录,摘要vt.摘,引用
excess	a.过量的,附加的n.超过,超越,过度,过量
excessive	a.过多的,过分的
exchange	n.交换,汇兑,交易所v.交换,交易,兑换
exchangeable	a.可交换的,可兑换的,可替换的
excise	n.货物税,国产税vt.收税,切除
excision	n.切除,删除,切除之物
excite	v.刺激,使...兴奋,激励
excited	a.兴奋的
excitement	n.激动,兴奋
exciting	a.令人兴奋的
exclaim	v.大叫,呼喊,大声叫
exclamation	n.惊呼,惊叹词
exclude	v.除外,排除,拒绝[计算机]排除
exclusion	n.排除,除外,逐出
exclusive	a.独占的,唯一的,排外的[计算机]互斥的
exclusively	ad.排他地(独占地,专门地,仅仅,只)
exclusivity	n.独家经营权
excrement	n.排泄物,粪便
excrete	v.排泄,分泌
excretory	a.排泄的
excursion	n.远足,短途旅行
excuse	n.借口,理由；低劣的样品v.原谅
executable	可执行的
execute	v.执行,实行,完成[计算机]执行
execution	n.实行,完成,执行
executive	a.行政的n.执行者,主管
executor	n.遗嘱执行人
exemplify	v.例证,例示
exempt	n.免税者,被免除义务者a.免除的v.使免除
exemption	n.免除
exercise	n.练习,作业,运动v.练习,运动,运用
exerciser	试验程序
exert	v.发挥,运用,施以影响
exertion	n.努力,发挥,运用
exhale	v.呼气,发出,发散
exhaust	n.排气,排气装置v.用尽,耗尽,使...精疲力尽[计算机]排除
exhausted	v.取尽(排出,详细讨论,包括)a.用完的
exhaustion	n.疲惫,筋疲力尽,竭尽
exhaustive	a.无遗漏的,彻底的,详尽的
exhibit	n.展览品,陈列品,展览v.展现,陈列,展览[计算机]呈现
exhibition	n.展览,展览会
exhilarate	v.使高兴的,使愉快的
exhort	v.劝诫,忠告
exile	n.放逐,流放,被放逐者v.放逐,流放
exist	v.存在
existence	n.存在,生存
existing	[计算机]现有的
exit	n.出口,退场,离去v.退出,脱离
exonerate	v.免除责任,确定无罪vt.使免罪
exoneration	n.免罪,免除
exorbitant	a.过高的
exotic	a.异国的,外来的
expand	v.使...膨胀,详述,扩张[计算机]扩充
expander	扩充器
expanding	扩展的,扩充的
expansile	a.(可)增大的
expansion	n.扩大,膨胀
expect	v.预期,盼望,期待
expectancy	n.期待(公算)
expectation	n.期待,期望v.期待,前程
expedience	n.便利,权宜之计
expedient	n.权宜之计,临时手段a.权宜的,方便的,有用的
expedite	v.加快,促进
expedition	n.远征,探险队,迅速
expel	v.驱逐,逐出,开除
expend	v.花费,消耗,支出
expenditure	n.(时间、劳力、金钱等)支出,使用,消耗
expense	n.消费,支出
expenses	n.费用,开支
expensive	a.昂贵的
experience	n.经历,经验v.经历,体验
experienced	a.有经验的
experiment	n.实验,试验,尝试v.实验,尝试
experimental	a.实验(性)的,试验(性)的
experimentation	n.实验,试验
expert	a.熟练的,内行的n.专家,能手
expertise	n.专家的意见,专门技术
expiration	n.呼出,呼气,终止
expire	v.期满,失效,终止,断气
expiry	n.逾期
explain	解释,说明
explanation	n.解释,说明
explanatory	a.解释的,说明的
expletive	a.填补的(补足的,附加的,多余的)n.填补物
explicit	a.明确的,详述的，明晰的,外在的
explicitly	ad.明白地,明确地
explode	v.爆炸,爆发,激发[计算机]爆炸
exploit	n.功绩,勋绩v.开发,利用,开拓
exploitation	n.开发,开采,自私的利用
exploration	n.探险,踏勘,探测
explore	v.探险,探测,探究[计算机]探讨
explorer	n.探测者
explosion	n.爆炸,爆发
explosive	a.爆炸(性)的n.炸药
exponent	n.说明者,说明物a.说明的n.指数
exponential	指数的
exponentiation	求幂
export	输出,出口
exportation	n.出口
exporter	n.出口商
expose	v.暴露,揭穿,陈列
exposition	n.博览会,展览会,说明
exposure	n.暴露,揭露,曝光
express	n.快车,快递,专使a.急速的,明确的v.表达,表示
expression	n.表达,表示,表现,表情,措辞,词句
expressive	a.表达的
expressly	ad.明白地,清楚地,特别地
expressway	n.高速公路
expulsion	n.逐出,开除,驱逐
expunge	v.擦掉,删掉,除去
exquisite	a.精致的,细腻的,敏锐的
extend	v.扩充,延伸,伸展,扩展
extensible	可扩充的
extension	n.延长,扩充,范围
extensive	a.广泛的,广阔的
extensively	ad.广阔地
extent	n.广度,宽度,长度,大小,范围,范围,程度n.[律]<英>扣押,<美>临时所有权令
exterior	n.外部,表面,外型a.外部的,外在的,表面的[计算机]外部的
exterminate	v.扑减,消减,根绝
external	n.外部a.外部的,外用的,客观的,表面的
extinct	a.灭绝的,熄灭的n.消灭,熄灭
extinction	n.消失,消减,废止
extinguish	v.熄减,消减,偿清
extort	v.勒索,敲诈,强要
extra	a.额外的ad.特别地n.额外的事物
extract	n.榨出物,精汁,选粹v.摘录,提取,吸取[计算机]提取
extraction	n.抽出,取出,抽出物
extraordinary	a.非常的,特别的
extravagance	n.奢侈,浪费,放肆的言行
extravagant	a.奢侈的,浪费的
extreme	a.极度的,极端的,尽头的,末端的n.极端
extremely	ad.极其,非常
extremes	n.极端事物
extremity	n.极端,极点,困境
exuberant	a.繁茂的,丰富的
eye	n.眼睛v.看,注视
eyeball	n.眼球
eyebrow	n.眉毛
eyeglass	n.眼镜
eyelid	n.眼皮,眼睑
eyes	n.眼睛
eyesight	n.视力
fable	n.寓言
fabric	n.织物,布,结构
fabricate	v.制造,建造,装配
fabrication	n.制造,建造,虚构的谎言
fabulous	a.传说的,无根据的,难以置信的
face	n.脸,面容v.面对,朝,承认[计算机]面
facet	n.小平面,方面,刻面
facial	a.面部的
facilitate	v.帮助,使...容易,促进
facility	n.设施,设备n.灵巧,容易,熟练
facsimile	n.复写,传真v.传真
fact	n.实际,事实
faction	n.小派系,内讧
factor	n.因素,因子
factorial	阶乘,阶乘的
factoring	n.因子分解
factory	n.工厂
faculty	n.才能,能力,全体教员n.（大学的）系,科,院
fade	v.褪色,消失,凋谢
fahrenheit	a.华氏的n.华氏温度计
fail	v.失败,不及格,辜负,缺少
failing	n.失败,缺点,过失
failure	n.失败
faint	n.昏厥,昏倒a.微弱的,无力的,模糊的v.昏倒
fair	a.公平的,晴朗的,美丽的n.展览会,市集adj.(皮肤，毛发等）浅色的；白皙的
fairly	a.公平地,相当ad.相当地
fairy	n.&a.仙女,小精灵
faith	n.信任,信仰
faithful	a.如实的,忠诚的,忠实的
faithfully	ad.忠实,诚心诚意,深信着
fake	n.假货,欺蹒a.假的v.假造,仿造
fall	n.秋天,落下,瀑布v.倒下,落下,来临
fallacy	n.谬论
fallback	撤退后备计划，后备行动
fallible	a.易错的,可能犯错的
false	a.不真实的,错误的,人造的,假的,虚伪的
falter	v.支吾地说,迟疑,蹒跚地走
fame	n.名声,名望
familiar	a.熟悉的
familiarity	n.亲密,熟悉,精通
familiarize	vt.使熟悉
family	a.家庭的n.家庭
famine	n.饥荒
famous	a.著名的
fan	n.风扇,迷,狂热者v.煽,煽动,刺激
fanatic	n.狂热,狂热者,盲信a.狂热的,盲信的
fancy	n.想像力,幻想,喜好a.想像的,精美的,新奇的
fantastic	a.极好的,难以相信的,奇异的,幻想的
fantastical	a.幻想的(奇异的)
fantasy	n.幻想
far	ad.&a.远的(地)n.远处
fare	n.费用,食物v.进展,进步,经营
farewell	a.告别的int.再会,别了n.告别
farm	n.农场,农田v.耕种
farmer	n.农夫
farmhouse	n.农舍,农家
farming	n.耕作
farther	a.更远的,进一步的ad.更远的,此外
fascinate	v.令人入神,使...～迷
fascinating	a.迷人的
fascination	n.魔力,～迷,魅力
fascism	n.法西斯主义
fascist	n.法西斯党员,法西斯主义者
fashion	n.流行,风尚,时样,时装v.形成,造,作
fashionable	a.流行的,时髦的
fashioned	...式的
fast	a.快速的,耐久的,紧的ad.很快地,紧紧地,彻底地n.vi.禁食,绝食,斋戒
fastback	快速返回
fasten	v.拴紧,使固定,系
fastidious	a.难取悦的,挑剔的,苛求的=particular
fat	a.肥胖的n.脂肪
fatal	a.致命的,毁灭性的
fate	n.命运
father	n.父亲
fathom	n.&v.测量深度,看穿,彻底了解
fatigue	n.疲乏,疲劳v.使...疲劳,使...心智衰弱
fatuous	a.愚昧的,昏庸的,发呆的,愚笨的,自满的
fault	n.故障,过失,缺点vt.挑剔,指责
faultless	a.完美的,无缺点的
faulty	a.有错误的,有缺点的
favor	n.好意,喜爱v.支持,喜欢,证实
favorable	a.有利的,赞许的,良好的
favorably	ad.顺利地,亲切地,好意地
favorite	a.最喜爱的n.最喜爱的人或物
favour	n.帮助(促进,好感,证实,来信,礼物)vt促进
fax	n.传真v.传真
fear	n.恐怖,害怕,担心v.害怕,恐惧,敬畏
fearful	a.担心的,可怕的
fearless	a.大胆的,勇敢的,无畏的
feasibility	n.可行性
feasible	a.可行的,可能的
feast	n.宴会,酒席,节会v.款宴,享乐,请客
feat	n.壮举,功绩,技艺表演
feather	n.羽毛
feature	n.特征,容貌n.特点,特色,特性
february	n.二月
federal	a.联邦的n.同盟盟友
federation	n.联邦,联合,联盟
fee	n.费用
feeble	a.虚弱的,无力的
feed	n.饲养,饲料,一餐v.喂,饲养,靠...为生
feedback	n.反馈
feeder	n.饲养者,供给者,奶瓶
feel	v.感觉,觉得,触摸
feeling	n.感觉,知觉,感情
fell	v.跌落,落下,降低
fellow	n.人,朋友,同事a.同伴的,同事的,同道的
fellowship	研究员资格（身份），奖学金，交情
female	a.雌的,女(性)的n.雌性的动物,女子
feminine	a.女性的
fence	n.围墙,剑术v.用篱笆围住,练习剑术,防护[计算机]栅栏
fend	v.抵卫,谋生
fermentation	n.发酵
ferocious	a.残忍的,凶猛的
ferrite	铁酸盐
ferromagnetic	铁磁体
ferrous	a.含铁的
ferry	n.渡船,渡口
ferryboat	n.渡船
fertile	a.肥沃的,能繁殖的n.多产,肥沃
fertility	n.肥沃,丰饶,生产力
fertilizer	n.肥料
fervent	a.热的,炎热的,热心的
fester	v.溃烂,生脓,n.脓疮,溃烂
festival	a.节日的,喜庆的,快乐的n.节日,庆祝及祭祀,欢宴
fetch	n.取得v.接来,取来,带来[计算机]取
fetter	v.加脚镣,束缚vt.&n.脚镣,束缚
fetus	n.胎,胎儿
feud	n.不和,封地,争执
feudal	a.封建的
feudalism	n.封建制度
fever	n.发烧,发热,热病
few	a.很少的,不多的,少数的int.少数的a.少数的
fiber	n.纤维
fibre	n.纤维,纤维组织,织地
fibroma	n.纤维瘤
fiche	卡片,缩微胶片
fickle	a.变幻无常的,浮燥的
fiction	n.小说,虚构
fictional	a.虚构的,编造的,小说式的
fiddle	n.小提琴v.虚度时光,拉小提琴
fidelity	n.忠实,诚实,忠诚
field	a.野外n.地,田地
fierce	a.猛烈的,残忍的,狂暴的,强烈的
fiery	a.炽热的,热烈的,暴躁的
fifteen	num.十五pron.&a.十五(个,只...)
fifteenth	num.第十五
fifth	a.第五的
fifty	num.五十
fig	[植]无花果,无花果树,无价值的东西,少许,一些,服装
fight	n.打架,战斗,斗志v.对抗,打架
fighter	n.斗士,战士,好战者
fighting	vbl.对抗,打架
figurative	a.比喻的,形容多的,修饰丰富的
figure	n.图形,数字,形状v.演算,认为,领会到
file	n.档案,公文箱,锉刀v.列队行进,归档,申请[计算机]文件
filename	文件名
filing	n.锉(文件的整理汇集)
fill	v.装满,填充,弥漫[计算机]填充
filler	填充符
filling	n.充填物,填料,填土
film	n.电影v.把...拍成电影
filter	n.筛选,滤波器,过滤器,滤色镜v.过滤,渗透,走漏[计算机]过滤
filterable	a.可滤过的,可滤的
filth	n.污秽(肮脏的)
filthy	a.污秽的,丑恶的
final	a.最后的n.决赛
finalization	结束
finalize	v.使结束,使完结
finally	ad.最后,最终
finance	n.财政,财务v.供给...经费,负担经费
finances	n.(pl.)财源,资产
financial	a.金融的,财政的
financier	n.财政家,金融家vi.欺骗性地从事金融活动,欺骗,骗取
financing	n.融资,财务,资金
find	v.发现,感觉到,认为
finder	n.发现者,探测器
finding	n.发现,发现物,决定vbl.发现
fine	n.罚款,罚金a.美好的,好的,晴朗的,健康的v.罚款
finger	n.手指,指针
fingers	手指
finish	n.完成,结束v.完成,结束,毁掉[计算机]终结
finished	a.完成的,完结的,精巧的v.完成vbl.完成
finite	a.有限的
fire	n.火,火灾,射击v.点燃,解职,开枪
fireman	n.消防队员
fireplace	n.壁炉
firework	n.焰火
firm	a.坚定的,坚固的,结实的ad.稳固地,坚定地n.商行,公司v.(使)变得坚实
firmly	ad.牢牢地
firmness	n.坚固,坚牢,坚定
firmware	n.固件
first	ad.首先,第一,优先a.第一的
fiscal	a.财政的
fish	n.鱼v.捕鱼,钓鱼
fisherman	n.渔夫
fishery	n.渔场(渔业)
fishes	n.双鱼宫
fishing	n.钓鱼
fission	n.裂开,分裂,分体
fist	n.拳头vt.紧握,用拳头打
fit	a.适宜的,对的,准备好的v.适合,安装n.适宜,发作,一阵
fitness	适合度（生物学术语）n.健康
fitting	a.适合的,恰当的n.试衣
five	num.五pron.&a.五(个,只...)
fix	v.使...固定,修理,准备
fixed	a.固定的,不变的,准备好的v.修理,使...固定,决定vbl.修理,使...固定,决定[计算机]固定的
fixing	固定,设备,修理
fixture	n.固定物,设备
flabby	a.软弱的,没气力的,不稳的
flag	n.旗标,旗子,信号旗[计算机]标志v.枯萎,减退
flagging	a.疲惫的,萎靡的
flake	n.薄片,小片,火花
flame	n.火焰,火舌,热情v.焚烧,面红,激动
flames	n.火焰
flank	n.侧面,侧腹,腰窝肉v.攻击侧面,面临着,守侧面
flannel	n.法兰绒
flap	n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动
flare	n.闪光,闪耀,[天]耀斑v.闪光,闪耀
flash	n.闪光,闪现,一瞬间v.闪光,闪现,闪烁[计算机]Adobe公司的动画技术
flashing	n.决放,遮雨板,卫水板
flask	n.细颈瓶,烧瓶,小水瓶
flat	a.平坦的,单调的,扁平的ad.平直地,干脆地n.[英]公寓
flatbed	平板式
flatten	v.变单调,变平,打倒
flatter	v.过份夸赞,奉承,阿谀
flaunt	n.飘杨v.挥动,夸耀,炫耀,飘扬
flavor	n.滋味,香料v.加味于
flavour	n.香味vt给...加味
flaw	n.缺点,裂纹,瑕疵
flee	v.逃避,逃跑,逃走
fleece	n.羊毛,羊毛状之物
fleet	n.船队,舰队v.飞过,掠过
fleeting	a.飞逝的(疾驰的,短暂的,急走的)
flesh	n.肉
fleshy	a.肉的
flex	v.弯曲,伸缩,褶曲n.电线,松紧带
flexibility	n.灵活性,柔韧性
flexible	a.灵活的,易弯曲的,柔韧的
flicker	n.闪烁,闪光,颤动v.闪动,闪烁,摇动
flight	n.飞行,飞机的航程,航班,逃跑
fling	n.投掷,急冲,嘲弄v.投,猛冲,嘲笑
flip	vt.掷,弹,轻击a.无礼的,冒失的,轻率的
flirt	n.卖弄风骚的人,调情的人v.忽然弹出,调情,玩弄
float	n.漂流物,浮舟,浮萍v.浮动,飘,散播
floating	浮动
flock	n.群v.成群而行,聚集
flood	n.洪水,水灾v.淹没,溢出vi.大量涌到,泛滥vt.灌溉,淹没
flooding	n.泛滥,产后出血
floor	n.地板,楼层,底部v.铺地板,击倒
floorwalker	n.巡视员
floppy	a.叭塌叭塌响的,懒散的,邋遢的
flour	n.面粉
flourish	v.繁荣,茂盛,活跃
flow	n.流,水流,流量v.流动vi.流,流动vt.淹没
flowchart	流程图
flower	n.花v.开花
flu	n.流行性感冒
fluctuate	vi.变动,上下,动摇vt.使动摇
fluctuation	n.波动,起伏
fluency	n.流利
fluent	a.流利的,流畅的
fluff	n.软毛,柔毛,绒毛
fluffy	a.毛绒绒的,蓬松的
fluid	a.流体的,流动的n.流体,液体
fluidics	应用流体学
fluorescent	n.日光灯a.萤光的
fluoroscopy	n.荧光检查,荧光学
flush	n.流溢,面红,旺盛a.丰足的,齐平的,满盈的v.脸发红,淹没,旺盛[计算机]冲洗
flute	n.长笛v.吹笛
flutter	n.摆动,鼓翼,烦扰v.摆动,鼓翼,烦扰
flux	n.流出,涨潮,变迁v.熔化,使泻,涨
fly	n.苍蝇,两翼昆虫,飞行v.飞,飞翔,逃走
fm	n.磁极(现场干线,现场更改,消防干管,外国使团)
